Individual,Fitness,Precision,Recall,Overall_Accuracy,Harmonic_Mean,Weighted_Kappa,Tree
0,0.30498188504151025,0.35243459958116924,0.56395832065068,0.8812281111111111,0.30498188504151025,0.26952285561357087,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B)))), F.Img_Sum(F.Img_Sum(F.Img_Sub(B, B), F.Img_Sub(B, B)), F.Img_Div(G, B)))))))), F.Img_Sub(F.DY(F.Img_Div(G, B)), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))))))"
1,0.2915557895377337,0.35712303278174035,0.5503996896063569,0.8699397777777779,0.2915557895377337,0.25934331633638164,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.Img_Div(G, B), F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B))))), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Img_Sum(F.Img_Sub(B, B), F.Half_Image(F.Img_Div(R, B)))))))))"
2,0.26682414065036164,0.33778883775747987,0.6130161294674228,0.7758056111111111,0.26682414065036164,0.2326963280706129,"F.Filter_Gaussian(F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(R, B)))), F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B))))), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(R, B)))))))))"
3,0.2780744677397099,0.33350262758302585,0.5048800143779519,0.8869246666666668,0.2780744677397099,0.24520558143153284,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Img_Sum(F.Img_Div(R, B), F.Img_Div(R, B)))))))), F.Img_Sub(F.DY(F.Img_Div(G, B)), F.Img_Sub(F.Img_Div(R, B), F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))))))"
4,0.06258790347305697,0.032709888888888886,1.0,0.032709888888888886,0.06258790347305697,0.0,"F.Filter_Gaussian(F.Img_Div(F.Log_Image(F.Img_Multi(F.Filter_Gaussian(F.DY(F.Img_Sub(F.Img_Div(G, B), F.Img_Sum(F.DX(B), F.Img_Div(I, B))))), F.Img_Sub(F.Img_Sub(F.Img_Div(B, G), F.DY(B)), F.Filter_Gaussian(F.Exp_Image(F.DY(F.Img_Div(R, I))))))), F.Exp_Image(B)))"
5,0.2916306422058819,0.35095796415938113,0.6054854235440673,0.8295922222222223,0.2916306422058819,0.2556605941500948,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B))))), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Img_Sum(F.Img_Sub(B, B), F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Div(G, B)), F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B))))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))))))"
6,0.3037782986424145,0.34682136811397,0.5710017486396297,0.8766523333333334,0.30377829864241457,0.267602557662678,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B)))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))), F.Img_Sub(F.DY(F.Img_Div(G, B)), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Div(G, B)), F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B))))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))))))"
7,0.2916306422058819,0.35095796415938113,0.6054854235440673,0.8295922222222223,0.2916306422058819,0.2556605941500948,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B))))), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Img_Sum(F.Img_Sub(B, B), F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Div(G, B)), F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B))))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))))))"
8,0.27431487153165013,0.36083560969770767,0.4592863461579789,0.9030626111111111,0.27431487153165013,0.24705493714853105,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Img_Div(R, B)), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))), F.Img_Sub(F.DY(F.Img_Div(G, B)), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Img_Sub(B, B)), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))))))"
9,0.2886691428116121,0.31426156635084185,0.5336151275540217,0.8910706666666667,0.2886691428116121,0.25047440484272476,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(R, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Exp_Image(F.Filter_Gaussian(F.Img_Div(R, B)))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))), F.Img_Sub(F.DY(F.Img_Div(G, B)), F.Img_Sub(F.Img_Div(R, B), F.Filter_Gaussian(F.Log_Image(F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)))))))))))"
10,0.2073177664059638,0.271759036043518,0.2971489860211893,0.915968388888889,0.2073177664059638,0.18447008623120062,"F.Log_Image(F.Filter_Gaussian(F.Log_Image(F.Img_Multi(F.Exp_Image(F.Img_Multi(F.Img_Sub(F.Img_Div(G, B), F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B))), F.Exp_Image(F.Half_Image(F.Img_Sub(F.Img_Sum(F.Img_Sub(B, B), F.Img_Div(G, B)), F.Img_Sum(F.Img_Sub(B, B), F.Img_Sum(F.Img_Sub(F.Img_Div(R, B), F.Img_Div(G, B)), F.Img_Div(G, B)))))))), F.Img_Sub(F.DY(F.Img_Div(G, B)), F.Img_Sub(F.DY(F.Half_Image(F.Img_Div(R, B))), F.Half_Image(F.Img_Div(R, B))))))))"
